choice_uid,event_id,choice_code,choice_text,visibility_json,resolution_json,outcomes_json,tags_json,meta_json
E01001_A,E01001,A,提供全额退款并道歉,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 1.0}","{""success"": {""text"": ""你诚恳道歉并处理妥当，顾客情绪缓和，还愿意再给一次机会。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -100}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": 5}, {""scope"": ""bag_weight"", ""target"": {""bag_id"": ""customer_conflict""}, ""op"": ""mul"", ""value"": 0.8, ""duration_turns"": 4}, {""scope"": ""event_weight"", ""target"": {""tags_any"": [""投诉""]}, ""op"": ""mul"", ""value"": 0.7, ""duration_turns"": 4}]}, ""fail"": {""text"": ""顾客不接受解释，在社交媒体发帖吐槽，你的声誉受损。"", ""effects"": [{""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -10}, {""scope"": ""flag"", ""target"": ""customer_angry"", ""op"": ""add"", ""value"": 1, ""duration_turns"": 6}]}}","[""安抚"", ""稳健""]","{""version"": ""v1"", ""ui_hint"": ""safe""}"
E01001_B,E01001,B,给出折扣并送小礼,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.7}","{""success"": {""text"": ""顾客接受了折扣，态度缓和。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -60}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": 2}]}, ""fail"": {""text"": ""顾客仍不满意，继续投诉。"", ""effects"": [{""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -4}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 3}]}}","[""折中""]","{""version"": ""v1"", ""ui_hint"": ""neutral""}"
E01001_C,E01001,C,强硬回应：产品没问题,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.5}","{""success"": {""text"": ""对方被说服，愿意停止争执。"", ""effects"": [{""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": 1}]}, ""fail"": {""text"": ""矛盾升级，出现差评扩散。"", ""effects"": [{""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -8}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 5}]}}","[""强硬""]","{""version"": ""v1"", ""ui_hint"": ""risky""}"
E01002_A,E01002,A,加强品控与出餐速度,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.8}","{""success"": {""text"": ""差评逐步减少，口碑回升。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -2000}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": 3}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 2}, {""scope"": ""shop_stat"", ""target"": {""shop"": ""main"", ""stat"": ""rating""}, ""op"": ""add"", ""value"": 0.2}]}, ""fail"": {""text"": ""投入有了，但效果不明显。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -1500}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -2}, {""scope"": ""shop_stat"", ""target"": {""shop"": ""main"", ""stat"": ""rating""}, ""op"": ""add"", ""value"": -0.1}]}}","[""口碑"", ""稳健""]","{""version"": ""v1""}"
E01002_B,E01002,B,先观望不做调整,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 1.0}","{""success"": {""text"": ""差评继续发酵，订单下滑。"", ""effects"": [{""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -4}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 1}, {""scope"": ""shop_stat"", ""target"": {""shop"": ""main"", ""stat"": ""rating""}, ""op"": ""add"", ""value"": -0.2}]}, ""fail"": {""text"": """", ""effects"": []}}","[""保守""]","{""version"": ""v1""}"
E01002_C,E01002,C,向平台申诉差评,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.5}","{""success"": {""text"": ""申诉成功，部分差评被下架。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -500}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": 1}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 3}]}, ""fail"": {""text"": ""平台不支持，反而引来更多关注。"", ""effects"": [{""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -6}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 4}]}}","[""申诉"", ""冒险""]","{""version"": ""v1""}"
E01003_A,E01003,A,提前囤货锁价,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.7}","{""success"": {""text"": ""你拿到了较好的价格。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -12000}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 3}]}, ""fail"": {""text"": ""价格没有谈下来，资金依然被占用。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -8000}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 2}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -1}]}}","[""成本"", ""风险""]","{""version"": ""v1""}"
E01003_B,E01003,B,更换供应商,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.6}","{""success"": {""text"": ""新供应商价格更低，但磨合期紧张。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": 2000}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 4}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -2}, {""scope"": ""shop_stat"", ""target"": {""shop"": ""main"", ""stat"": ""rating""}, ""op"": ""add"", ""value"": -0.1}]}, ""fail"": {""text"": ""供应不稳定，口碑受损。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": -3000}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -4}]}}","[""供应链""]","{""version"": ""v1""}"
E01003_C,E01003,C,先扛着涨价,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 1.0}","{""success"": {""text"": ""你决定先观察市场。"", ""effects"": [{""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 2}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -1}]}, ""fail"": {""text"": """", ""effects"": []}}","[""保守""]","{""version"": ""v1""}"
E01004_A,E01004,A,推出写字楼专属套餐,"{""required_flags_all"": [], ""required_flags_any"": [], ""excluded_flags_any"": []}","{""type"": ""prob"", ""success_rate"": 0.8}","{""success"": {""text"": ""团购带来可观订单。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": 6000}, {""scope"": ""stat"", ""target"": ""stress"", ""op"": ""add"", ""value"": 4}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": 3}, {""scope"": ""shop_stat"", ""target"": {""shop"": ""main"", ""stat"": ""rating""}, ""op"": ""add"", ""value"": 0.2}]}, ""fail"": {""text"": ""沟通成本太高，效果一般。"", ""effects"": [{""scope"": ""stat"", ""target"": ""cash"", ""op"": ""add"", ""value"": 1000}, {""scope"": ""stat"", ""target"": ""reputation"", ""op"": ""add"", ""value"": -3}]}}","[""营销"", ""机会""]","{""version"": ""v1""}"
