brand_id,brand_name,brand_type,brand_tier,franchise_fee,royalty_rate,monthly_fee,brand_awareness,supply_chain_score,training_quality,territory_protection,menu_freedom,support_level,min_area,description
B001,茶百道,milk_tea,A,80000,0.05,2000,85,80,75,true,30,70,25,知名茶饮品牌，加盟体系成熟
B002,蜜雪冰城,milk_tea,B,35000,0.03,1000,90,85,60,false,20,50,15,极致性价比，下沉市场王者
B003,喜茶GO,milk_tea,S,200000,0.08,5000,95,90,85,true,40,85,40,高端茶饮，选址要求高
B004,沪上阿姨,milk_tea,A,60000,0.04,1500,75,75,70,true,35,65,20,鲜果茶特色
B005,兰州拉面,noodle,B,20000,0.02,500,70,60,50,false,50,40,30,经典面食，全国覆盖
B006,和府捞面,noodle,A,150000,0.06,3000,65,80,80,true,25,75,80,高端面馆，环境优雅
B007,老乡鸡,fast_food,A,100000,0.05,2000,80,85,75,true,30,70,60,中式快餐头部品牌
B008,乡村基,fast_food,B,50000,0.04,1000,60,70,60,false,40,55,50,川渝特色快餐
B009,海底捞,hotpot,S,300000,0.08,8000,98,95,95,true,20,95,200,服务标杆，门槛极高
B010,呷哺呷哺,hotpot,A,120000,0.05,3000,75,80,70,true,30,65,80,小火锅模式
B011,瑞幸咖啡,cafe,A,100000,0.06,2000,90,85,75,false,25,70,30,互联网咖啡，数字化强
B012,Manner,cafe,S,180000,0.07,4000,70,75,80,true,35,75,25,精品咖啡，小店模式
B013,绝味鸭脖,snack,A,80000,0.05,1500,85,90,65,true,20,60,15,卤味零食头部
B014,周黑鸭,snack,A,100000,0.06,2000,80,85,70,true,25,65,20,高端卤味品牌
B015,85度C,bakery,A,150000,0.05,3000,70,75,75,true,30,70,60,台式烘焙连锁
B016,好利来,bakery,S,250000,0.07,5000,85,80,85,true,35,80,100,高端烘焙品牌
B017,木屋烧烤,bbq,A,180000,0.06,4000,70,75,70,true,40,65,100,连锁烧烤品牌
B018,很久以前,bbq,S,250000,0.08,6000,65,70,80,true,30,75,150,高端烧烤体验
