id,name,description,effects,duration,probability
we_001,经济繁荣,国家经济形势大好消费者信心高涨,cash+500,12,0.05
we_002,经济衰退,经济下行消费者减少支出,cash-300,8,0.05
we_003,流感爆发,流感季节来临外出人员减少,health-5|cash-200,4,0.08
we_004,政策扶持,政府出台小微企业扶持政策,cash+1000,8,0.03
we_005,物价上涨,原材料价格普遍上涨,cash-400,6,0.06
we_006,网红效应,你的店铺意外成为网红打卡点,cash+2000|reputation+10,4,0.02
we_007,恶劣天气,连续暴雨影响客流,cash-300|stress+5,2,0.10
we_008,节日促销,重大节日带来消费热潮,cash+800,1,0.15
we_009,竞争加剧,周边新开了多家同类店铺,cash-500|stress+8,12,0.04
we_010,外星人入侵,外星人来访地球暂时很混乱,cash-1000|stress+20|health-10,4,0.001

